Plot_ID,Farmer_ID,Area_ha,GPS_Validated,Survey_Year
P00001,F0004,0.35,No,
P00002,F0002,0.2,,2019.0
P00003,F0048,0.41,,2019.0
P00004,F0005,2.22,No,2020.0
P00005,F0022,1.89,Yes,2018.0
P00006,F0019,2.49,,
P00007,F0042,0.37,,2020.0
P00008,F0027,0.96,,2020.0
P00009,F0046,0.61,Yes,2018.0
P00010,F0016,1.11,,2020.0
P00011,F0028,1.42,Yes,2018.0
P00012,F0001,0.12,,2019.0
P00013,F0040,1.48,Yes,2018.0
P00014,F0014,2.25,,2020.0
P00015,F0026,2.32,Yes,2019.0
P00016,F0036,0.88,,2021.0
P00017,F0001,2.14,,
P00018,F0025,1.56,,2019.0
P00019,F0041,0.9,,2018.0
P00020,F0017,1.53,Yes,2021.0
P00021,F0009,1.87,,2018.0
P00022,F0016,1.21,,2020.0
P00023,F0003,0.99,No,2018.0
P00024,F0018,1.18,Yes,2021.0
P00025,F0003,0.79,No,2021.0
P00026,F0025,2.04,Yes,
P00027,F0030,1.61,No,2021.0
P00028,F0041,1.01,,2021.0
P00029,F0030,1.29,Yes,
P00030,F0023,0.15,No,
P00031,F0003,0.5,Yes,2019.0
P00032,F0030,1.18,,2018.0
P00033,F0027,1.16,Yes,2021.0
P00034,F0027,1.0,No,2019.0
P00035,F0029,1.23,No,
P00036,F0034,0.84,No,2020.0
P00037,F0029,2.22,,2021.0
P00038,F0043,2.48,No,2021.0
P00039,F0050,0.39,,2020.0
P00040,F0026,0.89,Yes,2020.0
P00041,F0033,1.3,,2018.0
P00042,F0039,2.43,No,2018.0
P00043,F0032,1.42,Yes,2019.0
P00044,F0001,1.92,Yes,2020.0
P00045,F0011,0.75,,2018.0
P00046,F0025,1.12,,
P00047,F0022,1.37,,2021.0
P00048,F0037,0.8,No,2018.0
P00049,F0033,1.88,Yes,
P00050,F0037,2.1,,2018.0
P00051,F0004,0.22,Yes,2021.0
P00052,F0035,1.52,,
P00053,F0008,1.96,No,2021.0
P00054,F0003,0.83,,2020.0
P00055,F0015,1.98,Yes,2021.0
P00056,F0030,2.41,,2019.0
P00057,F0001,1.61,Yes,
P00058,F0012,0.21,No,
P00059,F0004,1.2,,2018.0
P00060,F0047,2.23,Yes,2018.0
P00061,F0022,1.97,No,2021.0
P00062,F0002,1.71,Yes,2021.0
P00063,F0034,0.39,Yes,2019.0
P00064,F0034,1.49,No,
P00065,F0019,1.02,,
P00066,F0033,1.87,Yes,2018.0
P00067,F0035,2.35,,2019.0
P00068,F0033,0.9,No,
P00069,F0007,1.6,Yes,2019.0
P00070,F0006,0.41,Yes,
P00071,F0017,1.62,,2018.0
P00072,F0037,0.94,No,2021.0
P00073,F0048,2.19,No,2020.0
P00074,F0009,1.41,No,2018.0
P00075,F0049,0.75,No,
P00076,F0012,1.02,No,2021.0
P00077,F0010,2.42,No,2020.0
P00078,F0029,1.39,,2019.0
P00079,F0048,0.29,,
P00080,F0016,0.31,No,
